Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_pvalue	deseq2_padj	bayseq_library_522	bayseq_library_523	bayseq_library_524	bayseq_library_525	bayseq_likelihood	bayseq_FDR	
GPRC5A	NULL	NULL	NULL	NULL	NULL	NULL	-0.753840270012148	4.67947556499275	0.0164675919897713	0.526321028542647	-0.382133936804225	777.125828277575	0.319671355513479	NA	NA	1393	421	935	299	0.000615574313611284	0.989108235035943	
LOC101749257	NULL	NULL	NULL	NULL	NULL	NULL	2.17172003908502	-1.897430967182	0.00468856710055754	0.24026652271559	0.42346513280063	5.99526808635378	0.262759391239704	0.107047272208178	0.999162683775631	3	1	15	6	0.045943838845626	0.797121818367579	
LOC101752196	NULL	NULL	NULL	NULL	NULL	NULL	-2.85825524804485	2.46719502636158	4.0163420218996e-15	3.72262518360242e-12	-0.231734310542	165.170531387675	0.192219143730725	NA	NA	20	557	13	71	0.00146145112771198	0.986425108107887	
LOC101748289	NULL	NULL	NULL	NULL	NULL	NULL	2.90045914387978	-2.69176092979565	0.0170106977313034	0.534987803552823	0.228291453738302	2.57306042084845	0.187073364804963	0.222339367173207	0.999162683775631	0	1	9	1	0.0595091780008319	0.750550943942115	
LOC100858645	NULL	NULL	NULL	NULL	NULL	NULL	1.41003992358151	0.770522617667909	0.00034381911109783	0.0342501673382409	0.689867648692753	49.3988321027135	0.319682784037278	0.0309297286733512	0.986669972397451	33	18	112	41	0.0100260946446826	0.944884929294284	
LOC101748571	NULL	NULL	NULL	NULL	NULL	NULL	1.99696311129583	-2.29117975681294	0.022030104973704	0.604418947190014	0.306005505700791	4.131130131896	0.236683810123448	0.196050020874812	0.999162683775631	1	2	3	11	0.0377720959136465	0.82083135283811	
LOC100858647	NULL	NULL	NULL	NULL	NULL	NULL	-1.11768476843325	1.02746330627955	0.00266672867746695	0.15747734611147	-0.379068803926849	60.0614967936699	0.304280135073483	NA	NA	59	99	7	72	0.00707115100335963	0.952409075675608	
RRAD	NULL	NULL	NULL	NULL	NULL	NULL	-0.789049593461528	1.80137032691538	0.0227283376702265	0.609954662085602	-0.597511114360565	103.79665406922	0.274080716407867	0.0292533637423869	0.946510159637877	96	157	82	79	0.0171801199821929	0.914861142065362	
LOC100858460	NULL	NULL	NULL	NULL	NULL	NULL	0.549689561092451	4.82157267952078	0.0795762533023449	1	0.49613828581223	855.428738543261	0.188247149398238	0.0083996432377399	0.491507608348262	662	660	1175	977	0.0756650067733369	0.697079183158741	
LOC100858393	NULL	NULL	NULL	NULL	NULL	NULL	-0.493930563379321	3.29926865672448	0.124414371666747	1	-0.434786448605812	296.742687900396	0.209221690449109	0.0376988936902561	0.999162683775631	316	346	246	274	0.0337795922202464	0.838490532010695	
LOC101749159	NULL	NULL	NULL	NULL	NULL	NULL	4.79030641263006	-3.02726687213559	0.0195076518776684	0.573350321929261	0.238216665350022	1.67221238622598	0.1723165846227	0.166837841423987	0.999162683775631	0	0	2	5	0.108168101721692	0.609029476106336	
LOC101749621	NULL	NULL	NULL	NULL	NULL	NULL	2.59390010248977	-2.84746104599309	0.0488720054081774	0.939453030921123	0.232803990078221	2.15381781082091	0.193601964896896	0.229174611617399	0.999162683775631	0	1	3	5	0.0773417084973021	0.688466494530478	
LOC430761	NULL	NULL	NULL	NULL	NULL	NULL	-0.95457742699809	1.3311191161679	0.0082961605790554	0.336231085977762	-0.702691804445543	74.667938341928	0.282226850151421	0.012781067465626	0.624281162354898	100	87	48	59	0.0419820320264636	0.806592420435158	
LOC101750678	NULL	NULL	NULL	NULL	NULL	NULL	0.92196207113692	3.78067809210905	0.00397227074645477	0.211044192169553	0.745209243648797	414.371443155034	0.251584952738185	0.00305590127570281	0.263257363197727	227	322	467	675	0.061488967854335	0.743731299418365	
